No,id_item,nama_item,katagory,Brand,harga,rating
11,ER011,Erigo Kaos Basic Elon Shade Spruce,T-Shirt,Erigo,67000,"4,8"
12,ER012,Erigo Kaos Oversize Xaverius Coffee,T-Shirt,Erigo,70000,"4,5"
13,ER013,Erigo Kaos Oversize Series Sadamichi Black,T-Shirt,Erigo,74900,"4,3"
14,ER014,Erigo Kaos Oxana Black,T-Shirt,Erigo,60000,"4,6"
15,ER015,Erigo Kaos Oversize Kenji Black Unisex,T-Shirt,Erigo,77000,"4,7"
16,ER016,Erigo Kaos Oversize Kevyan Black Unisex,T-Shirt,Erigo,85000,"4,6"
17,ER017,Erigo Kaos Oversize Dtf Series Sukehiro Black,T-Shirt,Erigo,74900,"4,6"
18,ER018,Erigo Kaos Oversize Decker Navy Unisex,T-Shirt,Erigo,74000,"4,5"
19,ER019,Erigo Kaos Oversize Dtf Series Bernie Black,T-Shirt,Erigo,74900,"4,7"
20,ER020,Erigo Kaos Oversize Dtf Series Vorden Black,T-Shirt,Erigo,74900,"4,2"
21,ER021,Erigo Kaos Oversize Dtf Series Renaud Black,T-Shirt,Erigo,74900,"4,4"
22,ER022,Erigo Kaos Oversize Dtf Series Trevord Black,T-Shirt,Erigo,74900,"4,4"
23,ER023,Erigo Kaos Oversize Dtf Series Amina Black,T-Shirt,Erigo,74900,"4,4"
24,ER024,Erigo Kaos Oversize Dtf Series Aldric Black,T-Shirt,Erigo,74900,"4,5"
25,ER025,Erigo Kaos Oversize Dtf Series Cyrano Black,T-Shirt,Erigo,74900,"4,4"
26,ER026,Celana Unisex Erigo Chino Pants Sirius Black,Pants,Erigo,119000,"4,5"
27,ER027,Celana Unisex Erigo Chino Pants James Katun Army,Pants,Erigo,99900,"4,9"
28,ER028,Celana Unisex Erigo Denim Pants Brandien Indigo,Pants,Erigo,169000,"4,8"
29,ER029,Celana Unisex Erigo Jogger Pants Adley Katun Olive,Pants,Erigo,112000,"4,6"
30,ER030,Celana Unisex Erigo Chino Pants Caprio Katun Brown,Pants,Erigo,119900,"4,7"
31,ER031,Celana Unisex Erigo Jogger Pants Saanvi Katun Grey,Pants,Erigo,112000,"4,6"
32,ER032,Celana Unisex Erigo Chino Pants Beryl Katun Emerald,Pants,Erigo,119000,"4,9"
33,ER033,Celana Unisex Erigo Chino Pants Zeno Light Brown,Pants,Erigo,119900,"4,9"
34,ER034,Celana Unisex Erigo Chino Pants Alexa Katun Navy,Pants,Erigo,119900,"4,8"
35,ER035,Celana Unisex Erigo Chino Pants Mika Katun Grey,Pants,Erigo,119900,"4,7"
36,ER036,Celana Unisex Erigo Jogger Pants Cleo Katun Brown,Pants,Erigo,109000,"4,7"
37,ER037,Celana Jogger Erigo,Pants,Erigo,110000,"4,5"
38,ER038,Celana Unisex Erigo Chino Pants Jacob Katun Dark Grey,Pants,Erigo,119900,"4,8"
39,ER039,Celana Unisex Erigo Chino Pants Paul Katun Light Grey,Pants,Erigo,119000,"4,8"
40,ER040,Celana Unisex Erigo Chino Short Keiji Light Grey,Pants,Erigo,89000,"4,8"
41,ER041,Celana Unisex Erigo Chino Pants Reguler Jair Mocha,Pants,Erigo,149000,"4,9"
42,ER042,Celana Chino Panjang Pria Slim Fit Stretch Skinny Erigo Kantor Abu,Pants,Erigo,105000,"4,6"
43,ER043,Celana Unisex Erigo Chino Pants Katun Olive,Pants,Erigo,119900,"4,6"
44,ER044,Erigo Chino Short Pants Keiji Light,Pants,Erigo,105684,"4,5"
45,ER045,Celana Chino Chinos Cino Pendek Pria Slimfit Premium Kualitas Erigo,Pants,Erigo,85500,"4,8"
46,ER046,Celana Erigo Jogger Pants Drawstring,Pants,Erigo,115000,"4,8"
47,ER047,Celana Unisex Erigo Chino Pants Reguler Grey,Pants,Erigo,169000,"4,7"
48,ER048,Erigo Chino Short Pants Keiji Light Grey Best Seller Bahan Tebal,Pants,Erigo,105592,"4,6"
49,ER049,Celana Unisex Erigo Chino Pants Reguler Jaxson Hazel Wood,Pants,Erigo,149000,"4,7"
50,ER050,Celana Unisex Erigo Chino Pants Paul Katun Light Grey,Pants,Erigo,120000,"4,9"
51,ER051,Kemeja Unisex Erigo Basic Longsleeve Eckhart Olive,Shirt,Erigo,88000,"4,6"
52,ER052,Kemeja Unisex Erigo Shanghai Longsleeve Humbold Army,Shirt,Erigo,89000,"4,6"
53,ER053,Kemeja Unisex Erigo Shanghai Longsleeve Weyburn Emerald,Shirt,Erigo,89000,"4,8"
54,ER054,Kemeja Unisex Erigo Shanghai Longsleeve Rossland Light Brown,Shirt,Erigo,89000,"4,6"
55,ER055,Kemeja Unisex Erigo Basic Longsleeve Foerza Emerald,Shirt,Erigo,88000,"4,7"
56,ER056,Kemeja Unisex Erigo Shanghai Longsleeve Deventer Olive,Shirt,Erigo,89000,"4,8"
57,ER057,Kemeja Unisex Erigo Shanghai Short Sleeve Tammy Light Brown,Shirt,Erigo,79000,"4,6"
58,ER058,Kemeja Unisex Erigo Shanghai Short Sleeve Rune White,Shirt,Erigo,79000,"4,6"
59,ER059,Kemeja Unisex Erigo Shanghai Short Sleeve Quinten Emerald,Shirt,Erigo,79000,"4,9"
60,ER060,Kemeja Unisex Erigo Shanghai Short Sleeve Wout Navy,Shirt,Erigo,79000,"4,6"
61,ER061,Kemeja Unisex Erigo Shanghai Short Sleeve Tyra Olive,Shirt,Erigo,79000,"4,7"
62,ER062,Kemeja Unisex Erigo Basic Longsleeve Sherman Army,Shirt,Erigo,88000,"4,8"
63,ER063,Kemeja Unisex Erigo Shanghai Longsleeve Venlo Navy,Shirt,Erigo,89000,"4,8"
64,ER064,Kemeja Unisex Erigo Work Shirt Fritz Darkest Spruce,Shirt,Erigo,84000,"4,6"
65,ER065,Kemeja Unisex Erigo Short Shirt Cochise Light Brown,Shirt,Erigo,77000,"4,7"
66,ER066,Kemeja Unisex Erigo Short Shirt Aera Rayon Khaki,Shirt,Erigo,69000,"4,6"
67,ER067,Kemeja Unisex Erigo Short Shirt Lavrenti White,Shirt,Erigo,77000,"4,7"
68,ER068,Kemeja Unisex Erigo Short Shirt Delwyn Rayon Dark Brown,Shirt,Erigo,69000,"4,7"
69,ER069,Kemeja Unisex Erigo Short Shirt Othieno Rayon Army,Shirt,Erigo,77000,"4,5"
70,ER070,Kemeja Unisex Erigo Short Shirt Gribson Rayon Navy,Shirt,Erigo,77000,"4,6"
71,ER071,Kemeja Unisex Erigo Short Shirt Gruney Katun Red,Shirt,Erigo,75000,"4,8"
72,ER072,Kemeja Unisex Erigo Short Shirt Nessie Dark Green,Shirt,Erigo,69000,"4,6"
73,ER073,Kemeja Unisex Erigo Short Shirt Bilis Peach,Shirt,Erigo,77000,"4,8"
74,ER074,Kemeja Unisex Erigo Work Shirt Mikha White,Shirt,Erigo,350000,"4,5"
75,ER075,Kemeja Unisex Erigo Work Shirt Ezra Navy,Shirt,Erigo,350000,"4,7"
76,ER076,Aksesoris Unisex Erigo Tote Bag Twiggy Purple,Bag,Erigo,69000,"4,9"
77,ER077,Aksesoris Unisex Erigo Tote Bag Miuccia Maroon,Bag,Erigo,69000,"4,8"
78,ER078,Aksesoris Unisex Erigo Totebag Erigo The Club Black,Bag,Erigo,69000,"4,7"
79,ER079,Aksesoris Unisex Erigo Totebag Erigo Your Summer Maroon,Bag,Erigo,69000,"4,8"
80,ER080,Aksesoris Unisex Erigo Totebag Erigo Serving Beige,Bag,Erigo,69000,"4,8"
81,ER081,Aksesoris Unisex Erigo Totebag Two Tone Aloha Erigo Mustard,Bag,Erigo,71000,"4,7"
82,ER082,Aksesoris Unisex Erigo Totebag Erigo Sun & Breeze Grey,Bag,Erigo,69000,"4,9"
83,ER083,Aksesoris Unisex Erigo Waist Bag Kanoi Cordura Black,Bag,Erigo,64000,"4,7"
84,ER084,Aksesoris Unisex Erigo Sling Bag Hikaru Cordura Black,Bag,Erigo,79000,"4,8"
85,ER085,Aksesoris Unisex Erigo Slingbag Seiko Cordura Navy,Bag,Erigo,69000,"4,7"
86,ER086,Aksesoris Unisex Erigo Waistbag Eiji Black Cordura,Bag,Erigo,64000,"4,7"
87,ER087,Aksesoris Unisex Erigo Waist Bag Kanoi Olive Cordura,Bag,Erigo,64000,"4,8"
88,ER088,Aksesoris Unisex Erigo Waist Bag Itsuki Cordura Olive,Bag,Erigo,64000,"4,8"
89,ER089,Aksesoris Unisex Erigo Waist Bag Aghony Black,Bag,Erigo,69000,"4,8"
90,ER090,Aksesoris Unisex Erigo Waist Bag Aleister Cordura Navy,Bag,Erigo,64000,"4,6"
91,ER091,Aksesoris Unisex Erigo Waist Bag Aleister Cordura Olive,Bag,Erigo,64000,"4,8"
92,ER092,Aksesoris Unisex Erigo Waist Bag Clever Blue,Bag,Erigo,64000,"4,9"
93,ER093,Aksesoris Unisex Erigo Waist Bag Ren Cordura Camo,Bag,Erigo,64000,"4,7"
94,ER094,Aksesoris Unisex Erigo Waist Bag Itsuki Cordura Black,Bag,Erigo,64000,"4,5"
95,ER095,Aksesoris Unisex Erigo Waist Bag Kanoi Cordura Blue,Bag,Erigo,64000,"4,8"
96,ER096,Aksesoris Unisex Erigo Waist Bag Akira Cordura Navy,Bag,Erigo,64000,"4,8"
97,ER097,Aksesoris Unisex Erigo Slingbag Akemi Cordura Navy,Bag,Erigo,69000,"4,8"
98,ER098,Aksesoris Unisex Erigo Slingbag Kei Navy,Bag,Erigo,79000,"4,6"
99,ER099,Aksesoris Unisex Erigo Slingbag Rieyu Black,Bag,Erigo,79000,"4,6"
100,ER100,Aksesoris Unisex Erigo Bag Clever Blue,Bag,Erigo,64000,"4,5"
1,EI001,Eiger Kaos Swift Short,T-Shirt,Eiger,189000,"4,6"
2,EI002,Eiger Kaos Scenic ,T-Shirt,Eiger,189000,"4,8"
3,EI003,Eiger Kaos Swift Tank Top  ,T-Shirt,Eiger,169000,"4,9"
4,EI004,Eiger Kaos Good Vibes To Ride Short,T-Shirt,Eiger,179000,"4,5"
5,EI005,Eiger Kaos Stayin Awake Sleeveless     ,T-Shirt,Eiger,169000,"4,5"
6,EI006,Eiger Kaos Handle With Care Long      ,T-Shirt,Eiger,199000,48
7,EI007,Eiger Kaos Moorland Active Long,T-Shirt,Eiger,159000,"4,6"
8,EI008,Eiger Kaos Cadence Short,T-Shirt,Eiger,249000,"4,9"
9,EI009,Eiger Kaos Cadence Long,T-Shirt,Eiger,249000,"4,6"
10,EI010,Eiger Kaos Rolling Polo ,T-Shirt,Eiger,219000,"4,9"
11,EI011,Eiger Kaos Raintour Long  ,T-Shirt,Eiger,219000,"4,9"
12,EI012,Eiger Kaos Strato Short,T-Shirt,Eiger,239000,"4,8"
13,EI013,Eiger Kaos Kenali Negeri,T-Shirt,Eiger,179000,"4,8"
14,EI014,Eiger Kaos Camfest Tees Short,T-Shirt,Eiger,209000,"4,8"
15,EI015,Eiger Kaos Camfest Tees Long,T-Shirt,Eiger,289000,"4,9"
16,EI016,Eiger Kaos Naya Sports ,T-Shirt,Eiger,159000,"4,9"
17,EI017,Eiger Kaos Moorland Stripe Long,T-Shirt,Eiger,139000,"4,9"
18,EI018,Eiger Kaos Dublin,T-Shirt,Eiger,219000,"4,9"
19,EI019,Eiger Kaos Beverly Graphic,T-Shirt,Eiger,189000,"4,9"
20,EI020,Eiger Kaos Drew Striped,T-Shirt,Eiger,179000,"4,9"
21,EI021,Eiger Kaos Taaffeite ,T-Shirt,Eiger,289000,"4,8"
22,EI022,Eiger Kaos Bialowieza Polo Shirt Short,T-Shirt,Eiger,279000,"4,9"
23,EI023,Eiger Kaos Fraser Poloshirt Short ,T-Shirt,Eiger,139000,"4,5"
24,EI024,Eiger Kaos Moorland Plain,T-Shirt,Eiger,139000,"4,6"
